university,name
한국예술종합학교,"음악원 (성악과, 기악과)"
한국예술종합학교,"음악원 (작곡과, 지휘과, 음악학과)"
한국예술종합학교,연극원 (연기과)
한국예술종합학교,연극원 (무대미술과)
한국예술종합학교,"연극원 (연출과, 극작과, 연극학과)"
한국예술종합학교,"영상원 (영화과, 애니메이션과)"
한국예술종합학교,"영상원 (방송영상과, 멀티미디어영상과, 영상이론과)"
한국예술종합학교,무용원 (실기과(발레))
한국예술종합학교,무용원 (그 외)
한국예술종합학교,미술원
한국예술종합학교,전통예술원
